ID	Date	Offer1	Offer2	OfferDM1	OfferDM2	Refusal1	Refusal2	DMI	Breed	Parityt	month	Treatment
2321	01/02/1999	124.2875	48.8	0.9221	0.901	0	0	5.1991575	1	1	2	1
2321	01/03/1999	118.95	45.75	0.9221	0.901	0	0	4.94769	1	1	3	1
2321	01/04/1999	115.9	45.64833333	0.9221	0.901	0	0	4.852476667	1	1	4	1
2321	01/05/1999	111.0790323	42.7	0.9221	0.901	0	0	4.61962871	1	1	5	1
2321	01/06/1999	107.8683333	42.7	0.9221	0.901	0	0	4.522560333	1	1	6	1
2321	01/07/1999	108.3241935	42.7	0.903	0.8948	0	0	4.459826452	1	1	7	1
2321	01/08/1999	105.4709677	40.24032258	0.903	0.8948	0	0	4.303190968	1	1	8	1
2321	01/09/1999	103.7	39.65	0.903	0.8948	0	0	4.23344	1	1	9	1
2321	01/10/1999	103.7983871	39.65	0.9221	0.901	0	0	4.309414516	1	1	10	1
2321	01/11/1999	105.53	39.65	0.9221	0.901	0	0	4.361766	1	1	11	1
2321	01/12/1999	106.75	41.02741935	0.9221	0.901	0	0	4.439340323	1	1	12	1
2321	01/01/2000	106.75	42.01129032	0.9221	0.901	0	0	4.468404839	1	1	13	1
2321	01/02/2000	108.3275862	42.7	0.9221	0.901	0	0	4.536444828	1	1	14	1
2321	01/03/2000	110.8822581	42.7	0.9221	0.901	0	0	4.613679677	1	1	15	1
2321	01/04/2000	111.4266667	42.7	0.9221	0.901	0	0	4.630138667	1	1	16	1
2321	01/05/2000	112.4564516	42.7	0.9221	0.901	0	0	4.661271935	1	1	17	1
2321	01/06/2000	110.41	42.7	0.9221	0.901	0	0	4.599402	1	1	18	1
2321	01/07/2000	108.1274194	42.7	0.903	0.8948	0	0	4.454000645	1	1	19	1
2321	01/08/2000	112.0629032	42.7	0.903	0.8948	0	0	4.570516774	1	1	20	1
2321	01/09/2000	110.105	42.80166667	0.903	0.8948	0	0	4.515532667	1	1	21	1
2321	01/10/2000	118.0645161	45.75	0.9221	0.901	0	0	4.920919355	1	1	22	1
2321	01/11/2000	122	46.36	0.9221	0.901	0	0	5.05792	1	1	23	1
2321	01/12/2000	126.5258065	48.8	0.9221	0.901	0	0	5.266827742	1	1	24	1
2321	01/01/2001	130.6580645	51.35806452	0.9221	0.901	0	0	5.467325161	1	1	25	1
2321	01/02/2001	135.2892857	51.85	0.9221	0.901	0	0	5.621872143	1	1	26	1
2321	01/03/2001	134.6919355	50.96451613	0.9221	0.901	0	0	5.577654516	1	2	1	1
2321	01/04/2001	112.85	42.7	0.9221	0.901	0	0	4.67317	1	2	2	1
2321	01/05/2001	114.1290323	43.97903226	0.9221	0.901	0	0	4.749622581	1	2	3	1
2321	01/06/2001	115.1883333	45.03833333	0.9221	0.901	0	0	4.812941	1	2	4	1
2321	01/07/2001	115.9	45.75	0.903	0.8948	0	0	4.7736	1	2	5	1
2321	01/08/2001	117.2774194	45.75	0.903	0.8948	0	0	4.814380645	1	2	6	1
2321	01/09/2001	119.1533333	45.75	0.903	0.8948	0	0	4.86992	1	2	7	1
2321	01/10/2001	122.8854839	47.12741935	0.9221	0.901	0	0	5.107360968	1	2	8	1
