ID	Parity	Treatment	month	DM	ME	GE	FME	CP	ADIN	DMD	a	b	c	NDF
2321	4	1	4	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2321	5	1	5	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2321	6	1	6	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2321	7	1	7	903	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2321	8	1	8	903	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2321	9	1	9	903	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2321	10	1	10	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2321	11	1	11	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2321	12	1	12	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2321	13	1	13	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2321	14	1	14	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2321	15	1	15	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2321	16	1	16	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2321	17	1	17	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2321	18	1	18	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2321	19	1	19	903	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2321	20	1	20	903	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2321	21	1	21	903	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2321	22	1	22	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2321	23	1	23	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2321	24	1	24	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2321	25	1	25	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2321	26	1	26	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2321	1	1	1	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
