ID	Parity	Treatment	month	Offer1	Offer2
2341	1	2	21	152.6016667	59.67833333
2341	2	2	1	137.3483871	53.22741935
2341	2	2	2	123.0166667	48.19
2341	2	2	3	119.7370968	45.75
2341	2	2	4	121.5080645	45.75
2341	2	2	5	123.3071429	47.05714286
2341	2	2	6	123.4758065	47.32419355
2341	2	2	7	119.255	45.75
2341	2	2	8	122	45.75
2341	2	2	9	122.8133333	48.08833333
2341	2	2	10	125.05	48.8
2341	2	2	11	126.4274194	48.8
2341	2	2	12	125.05	48.8
2341	2	2	13	126.4274194	48.8
2341	2	2	14	127.185	48.8
2341	2	2	15	131.4451613	51.16129032
2341	2	2	16	139.5129032	54.50645161
2341	2	2	17	144.6571429	56.31607143
2341	2	2	18	147.9741935	57.95
2361	1	3	1	214.6806452	82.35
2361	1	3	2	187.6839286	72.00178571
2361	1	3	3	174.3419355	67.59193548
2361	1	3	4	171.0033333	65.67666667
2361	1	3	5	165.8806452	64.05
2361	1	3	6	162.1583333	62.62666667
2361	1	3	7	162.5354839	63.26290323
2361	1	3	8	164.4048387	62.37741935
2361	1	3	9	162.9716667	63.745
2361	1	3	10	166.4709677	64.24677419
2361	1	3	11	173.0366667	67.1
2361	1	3	12	182.4096774	69.85483871
2361	1	3	13	192.0516129	74.18387097
2361	1	3	14	200.8793103	78.87931034
2361	1	3	15	205.4322581	79.3
2361	2	3	1	202.3166667	77.165
2361	2	3	2	181.5241935	70.15
2361	2	3	3	178.12	68.11666667
2361	2	3	4	174.3419355	68.47741935
2361	2	3	5	173.4564516	67.1
2361	2	3	6	170.8	66.99833333
2361	2	3	7	166.766129	64.44354839
2361	2	3	8	168.7666667	65.06666667
2361	2	3	9	167.75	64.05
2361	2	3	10	172.2758065	66.41129032
2361	2	3	11	175.8107143	67.31785714
2361	2	3	12	185.5580645	71.42903226
2361	2	3	13	192.8616667	74.92833333
2361	2	3	14	194.7080645	75.65967742
2361	3	3	1	180.6616667	70.15
2361	3	3	2	176.4080645	67.69032258
2361	3	3	3	147.0887097	56.47419355
2361	3	3	4	156.5666667	60.59333333
2361	3	3	5	156.8290323	61.0983871
2361	3	3	6	128.71	49.715
2361	3	3	7	142.366129	54.9
2361	3	3	8	142.9564516	54.9
2361	3	3	9	160.4517857	62.08928571
2361	3	3	10	179.2612903	68.87096774
2361	3	3	11	194.3866667	75.03
2361	3	3	12	197.5612903	76.93870968
2361	4	3	1	188.2527778	73.70833333
2364	1	3	1	213.2966667	81.84166667
2364	1	3	2	187.8209677	73.2
2364	1	3	3	183.8133333	71.26833333
2364	1	3	4	183.7870968	70.93709677
2364	1	3	5	183.5903226	70.74032258
2364	1	3	6	181.5766667	70.15
2364	1	3	7	187.1322581	71.52741935
2364	1	3	8	187.6766667	71.57333333
2364	1	3	9	186.7387097	72.21612903
2364	1	3	10	194.1177419	74.18387097
2364	1	3	11	196.462069	75.30344828
2364	1	3	12	206.8096774	80.67741935
2364	1	3	13	216.4483333	83.875
2364	1	3	14	221.8629032	85.4
2364	1	3	15	223.6666667	85.4
2364	2	3	1	203.6612903	78.61129032
2364	2	3	2	197.9548387	76.25
2364	2	3	3	195.0983333	76.14833333
2364	2	3	4	192.9370968	73.59354839
2364	2	3	5	193.5733333	74.21666667
2364	2	3	6	190.4774194	73.2
2364	2	3	7	183.983871	70.64193548
2364	2	3	8	182.7821429	71.45714286
2364	2	3	9	189.1	73.2983871
2364	2	3	10	197.5383333	76.555
2364	2	3	11	209.466129	81.26774194
2364	2	3	12	216.55	84.68833333
2364	2	3	13	225.0112903	86.48225806
2364	2	3	14	175.5225806	67.88709677
2364	3	3	1	146.4	57.95
2364	3	3	2	144.4322581	54.9
2364	3	3	3	133.4883333	51.85
2364	3	3	4	132.5274194	51.85
